threshold,accuracy,precision,recall,f1_score,roc_auc,confusion_matrix
0.1,0.6323633782824698,0.4146919431279621,0.9358288770053476,0.5747126436781609,0.8421852799090651,"[[541, 494], [24, 350]]"
0.11,0.6437189496096523,0.4221411192214112,0.9278074866310161,0.580267558528428,0.8421852799090651,"[[560, 475], [27, 347]]"
0.12,0.6607523066004258,0.434010152284264,0.9144385026737968,0.5886402753872634,0.8421852799090651,"[[589, 446], [32, 342]]"
0.13,0.6721078779276083,0.4424083769633508,0.9037433155080213,0.5940246045694201,0.8421852799090651,"[[609, 426], [36, 338]]"
0.14,0.6799148332150461,0.44818304172274565,0.8903743315508021,0.5962399283795882,0.8421852799090651,"[[625, 410], [41, 333]]"
0.15,0.6870120652945352,0.45379310344827584,0.8796791443850267,0.5987261146496815,0.8421852799090651,"[[639, 396], [45, 329]]"
0.16,0.6933995741660752,0.4590395480225989,0.8689839572192514,0.600739371534196,0.8421852799090651,"[[652, 383], [49, 325]]"
0.17,0.6983676366217175,0.4633093525179856,0.8609625668449198,0.6024321796071095,0.8421852799090651,"[[662, 373], [52, 322]]"
0.18,0.709013484740951,0.47352941176470587,0.8609625668449198,0.6110056925996205,0.8421852799090651,"[[677, 358], [52, 322]]"
0.19,0.7139815471965933,0.4783904619970194,0.8582887700534759,0.614354066985646,0.8421852799090651,"[[685, 350], [53, 321]]"
0.2,0.7175301632363378,0.4815950920245399,0.839572192513369,0.6120857699805068,0.8421852799090651,"[[697, 338], [60, 314]]"
0.21,0.7274662881476224,0.49206349206349204,0.8288770053475936,0.6175298804780877,0.8421852799090651,"[[715, 320], [64, 310]]"
0.22,0.7310149041873669,0.4959349593495935,0.8155080213903744,0.6167846309403437,0.8421852799090651,"[[725, 310], [69, 305]]"
0.23,0.7352732434350603,0.5008264462809917,0.8101604278074866,0.6189989785495403,0.8421852799090651,"[[733, 302], [71, 303]]"
0.24,0.7402413058907026,0.5067567567567568,0.8021390374331551,0.6211180124223602,0.8421852799090651,"[[743, 292], [74, 300]]"
0.25,0.7416607523066004,0.5085324232081911,0.7967914438502673,0.6208333333333333,0.8421852799090651,"[[747, 288], [76, 298]]"
0.26,0.7473385379701917,0.5156794425087108,0.7914438502673797,0.6244725738396625,0.8421852799090651,"[[757, 278], [78, 296]]"
0.27,0.751596877217885,0.5212014134275619,0.7887700534759359,0.6276595744680851,0.8421852799090651,"[[764, 271], [79, 295]]"
0.28,0.7551454932576295,0.526032315978456,0.7834224598930482,0.6294307196562836,0.8421852799090651,"[[771, 264], [81, 293]]"
0.29,0.7579843860894251,0.5302752293577981,0.7727272727272727,0.6289445048966268,0.8421852799090651,"[[779, 256], [85, 289]]"
0.3,0.7615330021291696,0.5355805243445693,0.7647058823529411,0.6299559471365639,0.8421852799090651,"[[787, 248], [88, 286]]"
0.31,0.7650816181689141,0.5414258188824663,0.7513368983957219,0.6293393057110862,0.8421852799090651,"[[797, 238], [93, 281]]"
0.32,0.765791341376863,0.5428015564202334,0.7459893048128342,0.6283783783783784,0.8421852799090651,"[[800, 235], [95, 279]]"
0.33,0.7643718949609652,0.541501976284585,0.732620320855615,0.6227272727272727,0.8421852799090651,"[[803, 232], [100, 274]]"
0.34,0.765791341376863,0.5447154471544715,0.7165775401069518,0.6189376443418014,0.8421852799090651,"[[811, 224], [106, 268]]"
0.35,0.7721788502484032,0.5553235908141962,0.7112299465240641,0.6236811254396248,0.8421852799090651,"[[822, 213], [108, 266]]"
0.36,0.7778566359119943,0.5653104925053534,0.7058823529411765,0.6278240190249703,0.8421852799090651,"[[832, 203], [110, 264]]"
0.37,0.7821149751596878,0.5742793791574279,0.6925133689839572,0.6278787878787879,0.8421852799090651,"[[843, 192], [115, 259]]"
0.38,0.7828246983676366,0.5769230769230769,0.6818181818181818,0.625,0.8421852799090651,"[[848, 187], [119, 255]]"
0.39,0.7849538679914834,0.581986143187067,0.6737967914438503,0.6245353159851301,0.8421852799090651,"[[854, 181], [122, 252]]"
0.4,0.7885024840312278,0.590047393364929,0.6657754010695187,0.6256281407035176,0.8421852799090651,"[[862, 173], [125, 249]]"
0.41,0.7877927608232789,0.5925925925925926,0.6417112299465241,0.6161745827984596,0.8421852799090651,"[[870, 165], [134, 240]]"
0.42,0.7885024840312278,0.5964467005076142,0.6283422459893048,0.6119791666666666,0.8421852799090651,"[[876, 159], [139, 235]]"
0.43,0.7863733144073811,0.5948051948051948,0.6122994652406417,0.6034255599472991,0.8421852799090651,"[[879, 156], [145, 229]]"
0.44,0.7877927608232789,0.6,0.6016042780748663,0.6008010680907877,0.8421852799090651,"[[885, 150], [149, 225]]"
0.45,0.78708303761533,0.6027777777777777,0.5802139037433155,0.5912806539509536,0.8421852799090651,"[[892, 143], [157, 217]]"
0.46,0.7899219304471257,0.6120689655172413,0.56951871657754,0.590027700831025,0.8421852799090651,"[[900, 135], [161, 213]]"
0.47,0.7977288857345636,0.6328358208955224,0.5668449197860963,0.5980253878702397,0.8421852799090651,"[[912, 123], [162, 212]]"
0.48,0.7984386089425124,0.6371951219512195,0.5588235294117647,0.5954415954415955,0.8421852799090651,"[[916, 119], [165, 209]]"
0.49,0.7998580553584103,0.6464968152866242,0.5427807486631016,0.5901162790697675,0.8421852799090651,"[[924, 111], [171, 203]]"
0.5,0.8041163946061036,0.6644295302013423,0.5294117647058824,0.5892857142857143,0.8421852799090651,"[[935, 100], [176, 198]]"
0.51,0.8048261178140526,0.6736842105263158,0.5133689839572193,0.582701062215478,0.8421852799090651,"[[942, 93], [182, 192]]"
0.52,0.8034066713981547,0.6763636363636364,0.49732620320855614,0.5731895223420647,0.8421852799090651,"[[946, 89], [188, 186]]"
0.53,0.8055358410220014,0.6908396946564885,0.4839572192513369,0.5691823899371069,0.8421852799090651,"[[954, 81], [193, 181]]"
0.54,0.8041163946061036,0.6929133858267716,0.47058823529411764,0.5605095541401274,0.8421852799090651,"[[957, 78], [198, 176]]"
0.55,0.7984386089425124,0.6829268292682927,0.44919786096256686,0.5419354838709678,0.8421852799090651,"[[957, 78], [206, 168]]"
0.56,0.7991483321504613,0.6952789699570815,0.43315508021390375,0.5337726523887973,0.8421852799090651,"[[964, 71], [212, 162]]"
0.57,0.7984386089425124,0.6991150442477876,0.42245989304812837,0.5266666666666666,0.8421852799090651,"[[967, 68], [216, 158]]"
0.58,0.7991483321504613,0.7058823529411765,0.41711229946524064,0.5243697478991597,0.8421852799090651,"[[970, 65], [218, 156]]"
0.59,0.7984386089425124,0.7083333333333334,0.4090909090909091,0.5186440677966102,0.8421852799090651,"[[972, 63], [221, 153]]"
0.6,0.801277501774308,0.7259615384615384,0.4037433155080214,0.5189003436426117,0.8421852799090651,"[[978, 57], [223, 151]]"
0.61,0.7970191625266146,0.7178217821782178,0.3877005347593583,0.5034722222222222,0.8421852799090651,"[[978, 57], [229, 145]]"
0.62,0.7991483321504613,0.7333333333333333,0.38235294117647056,0.5026362038664324,0.8421852799090651,"[[983, 52], [231, 143]]"
0.63,0.7955997161107168,0.7362637362637363,0.3582887700534759,0.48201438848920863,0.8421852799090651,"[[987, 48], [240, 134]]"
0.64,0.7892122072391767,0.727810650887574,0.32887700534759357,0.4530386740331492,0.8421852799090651,"[[989, 46], [251, 123]]"
0.65,0.7885024840312278,0.7317073170731707,0.32085561497326204,0.44609665427509293,0.8421852799090651,"[[991, 44], [254, 120]]"
0.66,0.7877927608232789,0.7388535031847133,0.31016042780748665,0.4369114877589454,0.8421852799090651,"[[994, 41], [258, 116]]"
0.67,0.7899219304471257,0.7532467532467533,0.31016042780748665,0.4393939393939394,0.8421852799090651,"[[997, 38], [258, 116]]"
0.68,0.7885024840312278,0.7638888888888888,0.29411764705882354,0.4247104247104247,0.8421852799090651,"[[1001, 34], [264, 110]]"
